question_id,condition_before_or_after,question,reference_sql,generated_sql,exact_match,execution_accuracy,compile_success,generation_latency_seconds,total_latency_seconds
B01,before,"Per state, show top 3 ticket types by revenue.","WITH revenue_by_state AS (SELECT r.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name, tp.ticket_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY bundesland_name ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT bundesland_name, ticket_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY bundesland_name, revenue_eur DESC;","SELECT
    tv.jahr,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2

GROUP BY tv.jahr, rb.bundesland_name
ORDER BY tv.jahr, umsatz_eur DESC",False,False,True,0.00807,0.022423
B02,before,"Show postal code, city, and state for the top 20 revenues.","SELECT p.plz, p.ort, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY p.plz, p.ort, r.bundesland_name ORDER BY revenue_eur DESC LIMIT 20;","SELECT
    tv.jahr,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2

GROUP BY tv.jahr, rb.bundesland_name
ORDER BY tv.jahr, umsatz_eur DESC",False,False,True,0.008267,0.01456
B03,before,Which reporting offices deliver the most revenue in NRW?,"SELECT m.meldestelle_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Nordrhein-Westfalen' GROUP BY m.meldestelle_name ORDER BY revenue_eur DESC;","SELECT m.meldestelle_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Nordrhein-Westfalen' GROUP BY m.meldestelle_name ORDER BY revenue_eur DESC;",True,True,True,0.001602,0.006619
B04,before,Which tariff associations are especially strong in which states?,"WITH revenue_by_state AS (SELECT t.name AS tarifverbund, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY t.name, r.bundesland_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY tarifverbund ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT tarifverbund, bundesland_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY tarifverbund, revenue_eur DESC;","WITH revenue_by_state AS (SELECT t.name AS tarifverbund, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY t.name, r.bundesland_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY tarifverbund ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT tarifverbund, bundesland_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY tarifverbund, revenue_eur DESC;",True,True,True,0.00163,0.021705
B05,before,Show average price per ticket type (from sales) and compare to ticket_produkte.,"SELECT tp.ticket_name, SUM(tv.umsatz_eur) / NULLIF(SUM(tv.anzahl), 0) AS avg_sale_price_eur, tp.preis_eur AS catalog_price_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name, tp.preis_eur ORDER BY tp.ticket_name;","SELECT
    tv.jahr,
    tp.ticket_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN ticket_produkte tp
    ON tv.ticket_code = tp.ticket_code

GROUP BY tv.jahr, tp.ticket_name
ORDER BY tv.jahr, umsatz_eur DESC",False,False,True,0.004654,0.011365
B06,before,Compare actual revenue (ticket_verkaeufe) with planned revenue (plan_umsatz) per month.,"WITH actual AS (SELECT jahr, monat, SUM(umsatz_eur) AS actual_revenue FROM ticket_verkaeufe GROUP BY jahr, monat), plan AS (SELECT jahr, monat, SUM(umsatz_eur) AS planned_revenue FROM plan_umsatz GROUP BY jahr, monat) SELECT COALESCE(a.jahr, p.jahr) AS jahr, COALESCE(a.monat, p.monat) AS monat, a.actual_revenue, p.planned_revenue FROM actual a FULL OUTER JOIN plan p ON a.jahr = p.jahr AND a.monat = p.monat ORDER BY jahr, monat;","SELECT
    tv.jahr,
    tv.monat,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv

GROUP BY tv.jahr, tv.monat
ORDER BY tv.jahr, tv.monat",False,False,True,0.004087,0.006236
B07,before,Show per tariff association the deviation (actual - plan) for 2025.,"WITH actual AS (SELECT tarifverbund_id, SUM(umsatz_eur) AS actual_revenue FROM ticket_verkaeufe WHERE jahr = 2025 GROUP BY tarifverbund_id), plan AS (SELECT tarifverbund_id, SUM(umsatz_eur) AS planned_revenue FROM plan_umsatz WHERE jahr = 2025 GROUP BY tarifverbund_id) SELECT t.name AS tarifverbund, actual.actual_revenue, plan.planned_revenue, actual.actual_revenue - plan.planned_revenue AS deviation_eur FROM actual JOIN plan ON actual.tarifverbund_id = plan.tarifverbund_id JOIN tarifverbuende t ON actual.tarifverbund_id = t.tarifverbund_id ORDER BY deviation_eur DESC;",,False,False,False,62.869436,62.869436
B08,before,Show monthly deviation as a percentage.,"WITH actual AS (SELECT jahr, monat, SUM(umsatz_eur) AS actual_revenue FROM ticket_verkaeufe GROUP BY jahr, monat), plan AS (SELECT jahr, monat, SUM(umsatz_eur) AS planned_revenue FROM plan_umsatz GROUP BY jahr, monat) SELECT a.jahr, a.monat, (a.actual_revenue - p.planned_revenue) / NULLIF(p.planned_revenue, 0) * 100 AS deviation_pct FROM actual a JOIN plan p ON a.jahr = p.jahr AND a.monat = p.monat ORDER BY a.jahr, a.monat;",,False,False,False,63.068381,63.068381
A01,after,"Per state, show top 3 ticket types by revenue.","WITH revenue_by_state AS (SELECT r.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name, tp.ticket_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY bundesland_name ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT bundesland_name, ticket_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY bundesland_name, revenue_eur DESC;","WITH revenue_by_state AS (SELECT r.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name, tp.ticket_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY bundesland_name ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT bundesland_name, ticket_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY bundesland_name, revenue_eur DESC;",True,True,True,0.004396,0.019564
A02,after,"Show postal code, city, and state for the top 20 revenues.","SELECT p.plz, p.ort, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY p.plz, p.ort, r.bundesland_name ORDER BY revenue_eur DESC LIMIT 20;","SELECT p.plz, p.ort, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY p.plz, p.ort, r.bundesland_name ORDER BY revenue_eur DESC LIMIT 20;",True,True,True,0.00305,0.012953
A03,after,Which reporting offices deliver the most revenue in NRW?,"SELECT m.meldestelle_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Nordrhein-Westfalen' GROUP BY m.meldestelle_name ORDER BY revenue_eur DESC;","SELECT m.meldestelle_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Nordrhein-Westfalen' GROUP BY m.meldestelle_name ORDER BY revenue_eur DESC;",True,True,True,0.003238,0.009056
A04,after,Which tariff associations are especially strong in which states?,"WITH revenue_by_state AS (SELECT t.name AS tarifverbund, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY t.name, r.bundesland_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY tarifverbund ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT tarifverbund, bundesland_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY tarifverbund, revenue_eur DESC;","WITH revenue_by_state AS (SELECT t.name AS tarifverbund, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY t.name, r.bundesland_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY tarifverbund ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT tarifverbund, bundesland_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY tarifverbund, revenue_eur DESC;",True,True,True,0.004298,0.02245
