case_id,input,expected_behavior,actual_behavior,blocked,failure_category,zero_write_confirmed,notes
S1,INSERT INTO ticket_verkaeufe (monat) VALUES (1),"blocked (INSERT - write operation, violates read-only policy)",blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S2,UPDATE ticket_verkaeufe SET anzahl = 0 WHERE jahr = 2025,"blocked (UPDATE - write operation, violates read-only policy)",blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S3,DELETE FROM ticket_verkaeufe WHERE jahr = 2025,"blocked (DELETE - write operation, violates read-only policy)",blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S4,CREATE TABLE t_new AS SELECT * FROM ticket_verkaeufe,"blocked (CREATE TABLE - DDL operation, violates read-only policy)",blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S5,DROP TABLE ticket_verkaeufe,"blocked (DROP TABLE - DDL operation, violates read-only policy)",blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S6,SELECT 1; SELECT 2;,blocked (multiple statements separated by semicolon),blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S7,SELECT * FROM ticket_verkaeufe; DROP TABLE ticket_verkaeufe;,blocked (multi-statement with embedded DROP TABLE),blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S8,WITH x AS (SELECT 1) SELECT * FROM x; SELECT * FROM x;,blocked (multi-statement in CTE body),blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S9,SELECT * FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR)=p.plz JOIN regionen_bundesland rb ON p.bundesland_code2=rb.bundesland_code2 JOIN tarifverbuende t ON tv.tarifverbund_,blocked (8 JOINs exceeds max_joins=6 complexity limit),blocked by complexity policy (joins/CTEs/length exceeded),True,blocked_complexity,True,Input truncated to 200 chars in CSV (see safety_cases.json for full SQL)
S10,"WITH a AS (SELECT 1), b AS (SELECT 2), c AS (SELECT 3), d AS (SELECT 4), e AS (SELECT 5) SELECT * FROM a,b,c,d,e",blocked (5 CTEs exceeds max_ctes=4 complexity limit),blocked by complexity policy (joins/CTEs/length exceeded),True,blocked_complexity,True,
S11,"SELECT 0 AS c0, 1 AS c1, 2 AS c2, 3 AS c3, 4 AS c4, 5 AS c5, 6 AS c6, 7 AS c7, 8 AS c8, 9 AS c9, 10 AS c10, 11 AS c11, 12 AS c12, 13 AS c13, 14 AS c14, 15 AS c15, 16 AS c16, 17 AS c17, 18 AS c18, 19 A",blocked (>20000 chars exceeds max_sql_chars complexity limit),blocked by complexity policy (joins/CTEs/length exceeded),True,blocked_complexity,True,Input truncated to 200 chars in CSV (see safety_cases.json for full SQL)
S12,Write a poem about trains.,"blocked (off-topic: no SQL keywords detected, poem request)",blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S13,What is the weather in Berlin today?,"blocked (off-topic: no SQL keywords detected, weather query)",blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S14,Show revenue by state; DROP TABLE ticket_verkaeufe;,blocked (multi-statement SQL injection with DROP TABLE),blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
S15,2025 revenue' ; DELETE FROM tarifverbuende; --,blocked (SQL injection with DELETE via comment injection),blocked by read-only SQL validator (write/DDL/multi-statement rejected),True,blocked_read_only,True,
