question_id,question,reference_sql,generated_sql,exact_match,execution_accuracy,compile_success,failure_category,generation_latency_seconds,execution_latency_seconds,total_latency_seconds
Q1,What is the total revenue in 2025?,SELECT SUM(umsatz_eur) AS total_revenue_eur FROM ticket_verkaeufe WHERE jahr = 2025;,SELECT SUM(umsatz_eur) AS total_revenue_eur FROM ticket_verkaeufe WHERE jahr = 2025;,True,True,True,,0.001135,0.005603,0.006738
Q2,Show revenue per month for 2024.,"SELECT monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr = 2024 GROUP BY monat ORDER BY monat;","SELECT monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr = 2024 GROUP BY monat ORDER BY monat;",True,True,True,,0.000988,0.004133,0.005121
Q3,How many tickets were sold in total?,SELECT SUM(anzahl) AS total_tickets FROM ticket_verkaeufe;,SELECT SUM(anzahl) AS total_tickets FROM ticket_verkaeufe;,True,True,True,,0.001076,0.002049,0.003125
Q4,Which ticket products exist?,"SELECT ticket_code, ticket_name, preis_eur FROM ticket_produkte ORDER BY ticket_name;","SELECT ticket_code, ticket_name, preis_eur FROM ticket_produkte ORDER BY ticket_name;",True,True,True,,0.001048,0.003582,0.00463
Q5,List all tariff associations.,"SELECT tarifverbund_id, name, kuerzel, status FROM tarifverbuende ORDER BY name;","SELECT tarifverbund_id, name, kuerzel, status FROM tarifverbuende ORDER BY name;",True,True,True,,0.0011,0.002013,0.003113
Q6,Which tariff associations are active?,"SELECT tarifverbund_id, name, kuerzel FROM tarifverbuende WHERE status = 'aktiv' ORDER BY name;","SELECT tarifverbund_id, name, kuerzel FROM tarifverbuende WHERE status = 'aktiv' ORDER BY name;",True,True,True,,0.00114,0.00213,0.00327
Q7,List all federal states.,"SELECT bundesland_code2, bundesland_name, iso_code FROM regionen_bundesland ORDER BY bundesland_name;","SELECT bundesland_code2, bundesland_name, iso_code FROM regionen_bundesland ORDER BY bundesland_name;",True,True,True,,0.001285,0.002277,0.003562
Q8,Which reporting offices exist?,"SELECT meldestelle_code, meldestelle_name FROM meldestellen ORDER BY meldestelle_name;","SELECT meldestelle_code, meldestelle_name FROM meldestellen ORDER BY meldestelle_name;",True,True,True,,0.001112,0.00199,0.003102
Q9,How many reporting offices per city (from the name)?,"SELECT split_part(meldestelle_name, ' ', 1) AS city_token, COUNT(*) AS office_count FROM meldestellen GROUP BY city_token ORDER BY office_count DESC;","SELECT split_part(meldestelle_name, ' ', 1) AS city_token, COUNT(*) AS office_count FROM meldestellen GROUP BY city_token ORDER BY office_count DESC;",True,True,True,,0.001183,0.005491,0.006674
Q10,Which ticket types were sold the most (by quantity)?,"SELECT tp.ticket_name, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name ORDER BY tickets_sold DESC;","SELECT tp.ticket_name, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name ORDER BY tickets_sold DESC;",True,True,True,,0.001516,0.017262,0.018778
