question_id,question,reference_sql,generated_sql,compile_success,execution_accuracy,error_category,what_went_wrong,interpretation
P01,Show revenue by tariff association and federal state.,"SELECT t.name AS tarifverbund_name, rb.bundesland_name, SUM(tv.umsatz_eur) AS umsatz_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland rb ON p.bundesland_code2 = rb.bundesland_code2 GROUP BY t.name, rb.bundesland_name ORDER BY t.name, umsatz_eur DESC;","SELECT
    tv.jahr,
    t.name AS tarifverbund_name,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN tarifverbuende t
    ON tv.tarifverbund_id = t.tarifverbund_id
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2

GROUP BY tv.jahr, t.name, rb.bundesland_name
ORDER BY tv.jahr, t.name, umsatz_eur DESC",True,False,wrong aggregation,"The generated SQL compiled and ran, but it returned a different grouping or filter than the gold query.","The template planner generated SQL that compiled and ran, but returned wrong results. Error type: wrong aggregation. The generated SQL used a different grouping or filter than the gold query."
P02,"For each state, show top 3 ticket types by revenue.","WITH revenue_by_state AS (SELECT rb.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland rb ON p.bundesland_code2 = rb.bundesland_code2 GROUP BY rb.bundesland_name, tp.ticket_name), ranked AS (SELECT bundesland_name, ticket_name, revenue_eur, ROW_NUMBER() OVER (PARTITION BY bundesland_name ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT bundesland_name, ticket_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY bundesland_name, revenue_eur DESC;","SELECT
    tv.jahr,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2

GROUP BY tv.jahr, rb.bundesland_name
ORDER BY tv.jahr, umsatz_eur DESC",True,False,wrong aggregation,The generated SQL dropped the ticket-type dimension from the grouping.,"The template planner generated SQL that compiled and ran, but returned wrong results. Error type: wrong aggregation. The generated SQL used a different grouping or filter than the gold query."
P03,Show revenue by state and ticket type for 2025.,"SELECT rb.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland rb ON p.bundesland_code2 = rb.bundesland_code2 WHERE tv.jahr = 2025 GROUP BY rb.bundesland_name, tp.ticket_name ORDER BY rb.bundesland_name, revenue_eur DESC;","SELECT
    tv.jahr,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2
WHERE tv.jahr = 2025
GROUP BY tv.jahr, rb.bundesland_name
ORDER BY tv.jahr, umsatz_eur DESC",True,False,wrong column,The generated SQL dropped the ticket-type dimension from the grouping.,"The template planner generated SQL that compiled and ran, but returned wrong results. Error type: wrong column. The generated SQL used a different grouping or filter than the gold query."
P04,Show reporting office revenue with its state and tariff association.,"SELECT m.meldestelle_name, rb.bundesland_name, t.name AS tarifverbund_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland rb ON p.bundesland_code2 = rb.bundesland_code2 GROUP BY m.meldestelle_name, rb.bundesland_name, t.name ORDER BY revenue_eur DESC;","SELECT
    tv.jahr,
    t.name AS tarifverbund_name,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN tarifverbuende t
    ON tv.tarifverbund_id = t.tarifverbund_id
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2

GROUP BY tv.jahr, t.name, rb.bundesland_name
ORDER BY tv.jahr, t.name, umsatz_eur DESC",True,False,no_match,SQL compiled and ran but results did not match gold query.,The template planner generated a valid but semantically incorrect query.
P05,Compare ticket product catalog price vs average sale price per state.,"SELECT rb.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) / NULLIF(SUM(tv.anzahl), 0) AS avg_sale_price_eur, tp.preis_eur AS catalog_price_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland rb ON p.bundesland_code2 = rb.bundesland_code2 GROUP BY rb.bundesland_name, tp.ticket_name, tp.preis_eur ORDER BY rb.bundesland_name, tp.ticket_name;",,False,False,runtime_fail,SQL generation failed: runtime_fail (Ollama timeout after 65s),The LLM timed out for this complex question in the template-fallback run.
P06,Show top 5 ticket products by revenue in each state.,"WITH revenue_by_state AS (SELECT rb.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland rb ON p.bundesland_code2 = rb.bundesland_code2 GROUP BY rb.bundesland_name, tp.ticket_name), ranked AS (SELECT bundesland_name, ticket_name, revenue_eur, ROW_NUMBER() OVER (PARTITION BY bundesland_name ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT bundesland_name, ticket_name, revenue_eur FROM ranked WHERE rn <= 5 ORDER BY bundesland_name, revenue_eur DESC;","SELECT
    tv.jahr,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2

GROUP BY tv.jahr, rb.bundesland_name
ORDER BY tv.jahr, umsatz_eur DESC",True,False,no_match,SQL compiled and ran but results did not match gold query.,The template planner generated a valid but semantically incorrect query.
P07,Show revenue by state for active tariff associations only.,"SELECT rb.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland rb ON p.bundesland_code2 = rb.bundesland_code2 WHERE t.status = 'aktiv' GROUP BY rb.bundesland_name ORDER BY revenue_eur DESC;","SELECT
    tv.jahr,
    t.name AS tarifverbund_name,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN tarifverbuende t
    ON tv.tarifverbund_id = t.tarifverbund_id
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2

GROUP BY tv.jahr, t.name, rb.bundesland_name
ORDER BY tv.jahr, t.name, umsatz_eur DESC",True,False,no_match,SQL compiled and ran but results did not match gold query.,The template planner generated a valid but semantically incorrect query.
P08,Show revenue by ticket type and month for 2025.,"SELECT tv.monat, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code WHERE tv.jahr = 2025 GROUP BY tv.monat, tp.ticket_name ORDER BY tv.monat, revenue_eur DESC;","SELECT
    tv.jahr,
    tv.monat,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
WHERE tv.jahr = 2025
GROUP BY tv.jahr, tv.monat
ORDER BY tv.jahr, tv.monat",True,False,no_match,SQL compiled and ran but results did not match gold query.,The template planner generated a valid but semantically incorrect query.
P09,Show revenue by tariff association and month for 2024.,"SELECT tv.monat, t.name AS tarifverbund_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id WHERE tv.jahr = 2024 GROUP BY tv.monat, t.name ORDER BY tv.monat, revenue_eur DESC;","SELECT
    tv.jahr,
    tv.monat,
    t.name AS tarifverbund_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN tarifverbuende t
    ON tv.tarifverbund_id = t.tarifverbund_id
WHERE tv.jahr = 2024
GROUP BY tv.jahr, tv.monat, t.name
ORDER BY tv.jahr, tv.monat, umsatz_eur DESC",True,False,no_match,SQL compiled and ran but results did not match gold query.,The template planner generated a valid but semantically incorrect query.
P10,Show ticket sales quantity by state and ticket type.,"SELECT rb.bundesland_name, tp.ticket_name, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland rb ON p.bundesland_code2 = rb.bundesland_code2 GROUP BY rb.bundesland_name, tp.ticket_name ORDER BY rb.bundesland_name, tickets_sold DESC;","SELECT
    tv.jahr,
    rb.bundesland_name,
    SUM(tv.umsatz_eur) AS umsatz_eur
FROM ticket_verkaeufe tv
JOIN postleitzahlen p
    ON CAST(tv.plz AS VARCHAR) = p.plz
JOIN regionen_bundesland rb
    ON p.bundesland_code2 = rb.bundesland_code2

GROUP BY tv.jahr, rb.bundesland_name
ORDER BY tv.jahr, umsatz_eur DESC",True,False,no_match,SQL compiled and ran but results did not match gold query.,The template planner generated a valid but semantically incorrect query.
